Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-01,24.1,10.6,17,,,,,22.3,,,52.55
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-02,21.1,10.1,15.7,,,,,20.5,,,52.15
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-03,16.2,8.1,11.7,6.6,,,,20.5,,,31.61
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-04,20.1,7.4,12.1,7.4,,,,25.9,,,30.67
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-05,23.2,2.9,12.6,2.2,,,,18.4,,,26.88
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-06,22.6,3.1,13.2,1.7,,,,22.3,,,25.17
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-07,24.1,3.4,13.6,3.7,,,,20.5,,,23.49
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-08,24.7,4.9,14.2,4,,,,24.1,,,25.45
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-09,23.1,5.1,13.3,4.3,,,,24.1,,,25.28
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-10,24.1,2.1,12.8,0.6,,,,25.9,,,29.15
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-11,24.1,3.1,12.7,1.9,,,,24.1,,,34.42
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-12,26.1,3.1,14.3,4.5,,,,22.3,,,30.68
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-13,26.1,5.1,15.4,4,,,,20.5,,,29.74
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-14,25.1,7.7,16,6.8,,,,29.5,,,34.63
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-15,25.1,8.1,16.3,7.4,,,,16.6,,,32.28
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-16,26.1,7.1,16.2,6.4,,,,27.7,,,42.78
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-17,24.1,7.9,15.1,7.2,,,,24.1,,,54.16
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-18,24.1,7.1,13.7,7.5,,,,24.1,,,54.97
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-19,24.4,6.1,13.9,5.1,,,,20.5,,,50.37
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-20,24.1,6.1,14.9,6.6,,,,29.5,,,41.22
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-21,25.1,11.1,16.7,,,,,24.1,,,36.61
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-22,26.1,8.1,17.8,7.8,,,,22.3,,,33.19
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-23,21.6,10.1,14.1,,,,,25.9,,,44.58
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-24,22.1,5.1,12.2,4.5,,,,25.9,,,45.98
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-25,20.1,4.1,12.2,2.9,,,,25.9,,,43.24
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-26,22.1,6.1,13.5,5.1,,,,22.3,,,37.77
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-27,22.1,6.7,13.7,7.6,,,,24.1,,,36.26
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-28,22.1,6.1,13.3,,,,,22.3,,,44.12
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-29,22.2,5.1,14.9,,,,,31.3,,,44.71
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-30,22.7,7.9,15.5,7,,,,25.9,,,50.25
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-31,23.1,9.1,15.8,,,,,27.7,,,47
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-01,21.1,9.1,15.3,,,3,,25.9,,,63.13
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-02,23.1,9.1,16.1,,,,,31.3,,,65.14
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-03,24.1,8.1,16.9,,,,,31.3,,,50.63
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-04,24.1,10.1,17.1,,,,,35.3,,,49.96
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-05,25.1,10.1,17.8,,,,,18.4,,,49.69
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-06,25.1,11.1,17.5,,,,,27.7,,,59.53
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-07,23.1,10.1,15.9,,,3.5,,24.1,,,74.17
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-08,24.1,8.1,16.8,7.4,,,,16.6,,,58
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-09,25.1,9.4,16.9,,,,,25.9,,,43.71
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-10,26.4,10.4,18.3,,,,,18.4,,,46.9
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-11,27.7,10.1,18.3,,26.6,,,22.3,,,52.35
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-12,26.1,10.1,18.7,,,,,20.5,,,51.38
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-13,25.1,12.4,18.8,,,,,29.5,,,50.18
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-14,26.2,12.1,18.6,,,,,25.9,,,40.75
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-15,25.1,11.1,17.5,,,0.3,,31.3,,,36.66
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-16,24.9,10.7,17.4,,,,,29.5,,,42.78
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-17,26.1,11.1,18.6,,,,,20.5,,,50.28
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-18,26.1,11.9,19.2,,,,,31.3,,,49.38
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-19,26.1,12.1,18.6,,,,,18.4,,,56.03
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-20,23.1,13.1,17.3,,,,,22.3,,,46.91
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-21,24.2,7.1,16.1,,,,,22.3,,,36.43
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-22,27.1,9.9,17.8,,26.1,,,25.9,,,35.33
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-23,26.1,12.1,18.9,,,,,18.4,,,44.43
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-24,27.4,11.6,19.3,,26.2,,,22.3,,,35.79
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-25,27.1,11.6,18.9,,26.2,,,22.3,,,34.37
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-26,27.2,10.1,19.4,,26,,,22.3,,,29.57
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-27,28.2,12.1,19.8,,26.7,,,18.4,,,29.41
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-28,26.1,10.6,17.8,,,,,18.4,,,31.86
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-01,28.4,11.4,19.7,,26.9,,,24.1,,,29.67
